Symbol,Price,Price Time,Status,High Date,High,Low Date,Low,Entry Date,Entry,SL,Target,Distance %,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade,Live Grade,Speed Group
SIGMA.NS,47.5,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2026-01-14,63.5,2026-03-30,35.459999084472656,,57.49943980407715,49.47999954223633,70.79040023803711,17.390499521645967,9,6,3,0,9,66.66666666666666,5.868947653331461,5.868947653331461,3.888888888888889,4.0,2.5,3.333333333333333,66.66666666666666,83.33333333333334,100.0,1.5091579679995186,78.67,A+,A,FAST
TIPSMUSIC.NS,643.7999877929688,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2026-07-20,741.0,2026-08-10,637.0499877929688,,718.7546973876953,689.0249938964844,768.0270031738281,10.428413180066642,9,6,3,0,9,66.66666666666666,6.703425412125324,6.703425412125324,5.555555555555555,6.5,5.5,3.0,50.0,83.33333333333334,100.0,1.2066165741825583,76.97,A+,A,FAST
TARAPUR.NS,15.25,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-11-24,39.27999877929688,2026-08-07,12.210000038146973,,33.4870190486908,25.744999408721924,46.31819845199585,54.45996558300339,9,6,3,0,9,66.66666666666666,3.041100522263956,3.041100522263956,5.222222222222222,3.6666666666666665,4.0,8.333333333333334,83.33333333333334,100.0,100.0,0.582338397880332,75.92,A+,A,FAST
RELIABLE.NS,137.58999633789062,2026-08-24T12:45:00+05:30,WAITING FOR 0.786,2026-02-04,175.0,2026-03-27,104.73999786376952,,159.9643595428467,139.86999893188477,193.2676005554199,13.987092667953366,11,6,5,0,11,54.54545454545454,6.422976428243351,6.422976428243351,8.727272727272727,11.833333333333334,4.0,4.6,66.66666666666666,83.33333333333334,83.33333333333334,0.7359660490695508,75.69,A+,A,FAST
BEARDSELL.NS,26.3799991607666,2026-08-24T12:30:00+05:30,WAITING FOR 0.786,2025-10-28,37.369998931884766,2026-04-01,20.020000457763672,,33.65709925842285,28.69499969482422,41.88099853515625,21.621293153583704,12,7,5,0,12,58.333333333333336,5.273291584786584,5.273291584786584,6.666666666666667,7.285714285714286,5.0,5.4,71.42857142857143,85.71428571428571,85.71428571428571,0.7909937377179875,75.64,A+,A,FAST
SERVOTECH.NS,81.91999816894531,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-10-07,141.5,2026-01-30,57.5099983215332,,123.52613964080813,99.5049991607666,163.33740043640137,33.6820543350954,13,7,6,0,13,53.84615384615385,6.7926391457132524,6.7926391457132524,4.307692307692308,5.714285714285714,6.0,2.333333333333333,28.57142857142857,100.0,100.0,1.5768626588262908,74.65,A,A,FAST
ATULAUTO.NS,484.5,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2026-08-05,596.5499877929688,2026-08-20,485.1000061035156,,572.6996917114258,540.8249969482422,625.5269830322266,15.400687827830748,9,5,4,0,9,55.55555555555556,5.9499165850610405,5.9499165850610405,5.555555555555555,9.0,2.0,0.0,80.0,80.0,80.0,1.0709849853109874,74.02,A,A,FAST
ELECTHERM.NS,1052.0,2026-08-24T12:45:00+05:30,WAITING FOR 0.786,2026-07-06,1277.0,2026-08-18,959.9000244140624,,1209.140605224609,1118.4500122070312,1359.4459936523438,12.99605724475846,12,8,4,0,12,66.66666666666666,1.71513376770964,1.71513376770964,7.833333333333333,5.125,4.5,13.0,75.0,87.5,100.0,0.2189532469416561,73.6,A,A,FAST
SPMLINFRA.NS,187.3600006103516,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-09-08,302.0,2026-03-30,151.00999450683594,,269.6881388244629,226.504997253418,341.2574014282227,30.52716317928162,11,6,5,0,11,54.54545454545454,5.870604069874392,5.870604069874392,8.181818181818182,11.5,3.0,3.8,66.66666666666666,66.66666666666666,66.66666666666666,0.7175182752068702,73.16,A,A,FAST
ENERGYDEV.NS,16.309999465942383,2026-08-24T12:50:00+05:30,WAITING FOR 0.786,2025-11-19,29.690000534057617,2026-03-30,13.149999618530272,,26.150440338134764,21.420000076293945,33.99040077209473,37.63011538219578,8,5,3,0,8,62.5,1.884523972865717,1.884523972865717,3.375,3.0,3.0,3.6666666666666665,80.0,100.0,100.0,0.558377473441694,72.44,A,A,FAST
