Symbol,Price,Price Time,Status,High Date,High,Low Date,Low,Entry Date,Entry,SL,Target,Distance %,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade,Live Grade,Speed Group,Current State,Opportunity,Opportunity Score V3
SONATSOFTW.NS,279.8999938964844,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-24,310.45001220703125,2026-09-11,257.79998779296875,,299.18290698242185,284.125,324.1390185546875,6.445192100185866,7.0,5.0,2.0,0.0,7.0,71.42857142857143,5.392880961453792,5.392880961453792,5.285714285714286,6.2,1.0,1.5,60.0,80.0,80.0,1.020274776491258,79.5,A+,B,FAST,WATCH,GOOD,67.77
TIPSMUSIC.NS,668.9500122070312,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-07-20,741.0,2026-09-02,628.2000122070312,,716.8608026123047,684.6000061035156,770.3279968261719,6.683416115190324,9.0,6.0,3.0,0.0,9.0,66.66666666666666,6.703425412125324,6.703425412125324,5.555555555555555,6.5,5.5,3.0,50.0,83.33333333333334,100.0,1.2066165741825583,76.97,A+,A,FAST,WATCH,GOOD,67.66
RELIABLE.NS,147.6999969482422,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-02-04,175.0,2026-03-27,104.73999786376952,,159.9643595428467,139.86999893188477,193.2676005554199,7.666934453183291,11.0,6.0,5.0,0.0,11.0,54.54545454545454,6.422976428243351,6.422976428243351,8.727272727272727,11.833333333333334,4.0,4.6,66.66666666666666,83.33333333333334,83.33333333333334,0.7359660490695508,75.69,A+,A,FAST,WATCH,GOOD,66.76
BALRAMCHIN.NS,685.7999877929688,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-20,780.9500122070312,2026-09-22,651.2999877929688,,753.2049069824219,716.125,814.6590185546875,8.949081261233237,7.0,5.0,2.0,0.0,7.0,71.42857142857143,5.145559122199513,5.145559122199513,11.428571428571429,13.4,3.0,5.5,60.0,60.0,60.0,0.4502364231924574,77.11,A+,B,FAST,WATCH,GOOD,66.56
JINDALSAW.NS,285.5,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-09-10,320.0,2026-09-25,280.04998779296875,,311.4506973876953,300.0249938964844,330.38700317382813,8.332200764152327,9.0,5.0,3.0,1.0,8.0,62.5,5.813347357603416,5.813347357603416,16.555555555555557,14.8,8.0,3.6666666666666665,20.0,60.0,60.0,0.3511417867008774,71.58,A,A,MEDIUM,WATCH,GOOD,61.4
ARVSMART.NS,614.0499877929688,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-24,707.8499755859375,2026-09-18,540.3499755859375,,672.0049755859375,624.0999755859375,751.3999755859375,8.624190281096707,13.0,6.0,6.0,1.0,12.0,50.0,4.105866962777203,4.105866962777203,13.23076923076923,13.833333333333334,5.0,3.8333333333333335,50.0,66.66666666666666,83.33333333333334,0.3103271541633932,68.58,A,A,FAST,WATCH,GOOD,59.66
SATIN.NS,236.6499938964844,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-07-27,274.1400146484375,2026-09-10,210.0,,260.4140515136719,242.07000732421875,290.81641845703126,9.125489764879257,14.0,6.0,7.0,1.0,13.0,46.15384615384615,4.6340759694164495,4.6340759694164495,12.857142857142858,13.666666666666666,5.0,4.142857142857143,50.0,66.66666666666666,66.66666666666666,0.3604281309546127,67.87,A,A,FAST,WATCH,GOOD,59.24
NATIONALUM.NS,358.70001220703125,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-24,405.0,2026-09-22,348.1000061035156,,392.82340130615233,376.5500030517578,419.79399841308594,8.686699668517598,13.0,5.0,6.0,2.0,11.0,45.45454545454545,4.402685318281395,4.402685318281395,14.76923076923077,12.6,6.0,1.0,40.0,80.0,80.0,0.2980984850919694,65.56,A,A,FAST,WATCH,GOOD,56.91
VADILALIND.NS,7534.5,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-13,8447.0,2026-09-15,6745.0,,8082.772,7596.0,8889.52,6.783217440749287,12.0,6.0,5.0,1.0,11.0,54.54545454545454,7.3755832063255236,7.3755832063255236,17.166666666666668,22.83333333333333,17.0,1.0,16.666666666666664,33.33333333333333,50.0,0.4296456236694479,61.18,B,B,SLOW,WATCH,GOOD,56.11
KSB.NS,819.0999755859375,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-07-22,913.25,2026-09-17,761.0,,880.6685,837.125,952.835,6.991112366805727,16.0,7.0,8.0,1.0,15.0,46.66666666666666,1.2550873925524677,1.2550873925524677,10.6875,7.857142857142857,4.0,6.25,57.14285714285714,71.42857142857143,85.71428571428571,0.1174350776657279,64.27,B,B,FAST,WATCH,GOOD,55.04
