Symbol,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade
BAJAJHIND.NS,14,6,8,0,14,42.857142857142854,0.39015838236574296,0.39015838236574296,8.785714285714286,3.3333333333333335,3.0,12.375,83.33333333333334,100.0,100.0,0.044408271163580496,63.25,B
SENORES.NS,8,4,4,0,8,50.0,2.6918682658263164,2.6918682658263164,8.125,14.5,7.5,1.0,25.0,75.0,75.0,0.3313068634863159,63.21,B
HBLENGINE.NS,23,9,14,0,23,39.130434782608695,0.6479104720581216,0.6479104720581216,5.565217391304348,3.7777777777777777,3.0,6.071428571428571,66.66666666666666,88.88888888888889,100.0,0.11642141294794373,63.05,B
USHAMART.NS,16,7,8,1,15,46.666666666666664,1.3817461539627705,1.3817461539627705,11.875,14.0,4.0,3.0,57.14285714285714,57.14285714285714,71.42857142857143,0.11635757086002277,63.04,B
RAMRAT.NS,12,5,6,1,11,45.45454545454545,2.7237256376915386,2.7237256376915386,11.833333333333334,9.2,7.0,5.166666666666667,20.0,80.0,80.0,0.2301739975513976,62.94,B
PERSISTENT.NS,8,3,3,2,6,50.0,3.0094448784707506,3.0094448784707506,27.125,24.0,9.0,8.0,0.0,66.66666666666666,66.66666666666666,0.1109472766256498,62.87,B
CASTROLIND.NS,6,2,3,1,5,40.0,1.5140071845357663,1.5140071845357663,12.166666666666666,4.5,4.5,0.0,50.0,100.0,100.0,0.12443894667417259,62.87,B
DCMFINSERV.NS,12,6,6,0,12,50.0,-1.794717161291052,-1.794717161291052,10.25,3.8333333333333335,4.5,16.666666666666668,83.33333333333334,100.0,100.0,-0.17509435719912703,62.7,B
TEXMOPIPES.NS,6,3,3,0,6,50.0,-1.159480571142731,-1.159480571142731,5.5,0.6666666666666666,1.0,9.666666666666666,100.0,100.0,100.0,-0.21081464929867835,62.69,B
JKIL.NS,8,4,4,0,8,50.0,3.920304046651256,3.920304046651256,6.625,10.25,9.5,2.25,50.0,50.0,75.0,0.591744007041699,62.63,B
TITAGARH.NS,17,7,10,0,17,41.17647058823529,1.5484390474363412,1.5484390474363412,4.352941176470588,7.142857142857143,2.0,1.4,71.42857142857143,71.42857142857143,85.71428571428571,0.35572248387051086,62.53,B
ANDREWYU.NS,6,3,3,0,6,50.0,2.7780622793105425,2.7780622793105425,6.833333333333333,7.333333333333333,10.0,5.333333333333333,33.33333333333333,66.66666666666666,100.0,0.4065456994112989,62.51,B
AJMERA.NS,6,3,2,1,5,60.0,7.464141066742442,7.464141066742442,19.0,16.666666666666668,20.0,0.0,0.0,33.33333333333333,66.66666666666666,0.3928495298285496,62.5,B
MARINE.NS,14,6,7,1,13,46.15384615384615,-0.9344465680398878,-0.9344465680398878,12.5,2.5,1.5,13.857142857142858,83.33333333333334,100.0,100.0,-0.07475572544319102,62.5,B
MSPL.NS,8,3,5,0,8,37.5,4.014453041023963,4.014453041023963,8.125,18.333333333333332,3.0,1.2,66.66666666666666,66.66666666666666,66.66666666666666,0.49408652812602627,62.44,B
CELEBRITY.NS,9,4,5,0,9,44.44444444444444,0.09013585734281311,0.09013585734281311,3.6666666666666665,2.0,1.0,4.4,100.0,100.0,100.0,0.02458250654803994,62.42,B
WSI.NS,6,3,3,0,6,50.0,0.5854295038854076,0.5854295038854076,11.666666666666666,6.0,7.0,17.0,33.33333333333333,100.0,100.0,0.05017967176160637,62.41,B
JAIBALAJI.NS,8,4,4,0,8,50.0,0.2603773617233971,0.2603773617233971,5.75,4.25,2.0,6.5,75.0,75.0,100.0,0.045283019430156016,62.41,B
NAGREEKCAP.NS,16,7,8,1,15,46.666666666666664,-1.7621873463578241,-1.7621873463578241,9.4375,4.857142857142857,5.0,7.0,57.14285714285714,100.0,100.0,-0.1867218380246701,62.41,B
ESSARSHPNG.NS,8,3,5,0,8,37.5,1.8162650320972258,1.8162650320972258,3.0,2.6666666666666665,3.0,2.6,100.0,100.0,100.0,0.6054216773657419,62.34,B
JAGRAN.NS,7,3,3,1,6,50.0,2.6384330063476122,2.6384330063476122,13.142857142857142,9.666666666666666,7.0,0.0,33.33333333333333,66.66666666666666,100.0,0.20075033743949225,62.29,B
NIRAJ.NS,9,4,5,0,9,44.44444444444444,-0.03958298238008062,-0.03958298238008062,3.4444444444444446,0.75,1.0,5.2,100.0,100.0,100.0,-0.011491833594216955,62.22,B
SARVESHWAR.NS,13,5,8,0,13,38.46153846153847,0.8502066669034648,0.8502066669034648,5.538461538461538,3.2,3.0,6.5,100.0,100.0,100.0,0.15350953707979226,62.21,B
TARMAT.NS,7,3,4,0,7,42.857142857142854,2.470078172745281,2.470078172745281,8.428571428571429,6.666666666666667,1.0,9.0,66.66666666666666,66.66666666666666,100.0,0.2930601221901181,62.17,B
DCAL.NS,7,3,4,0,7,42.857142857142854,2.365236390648774,2.365236390648774,16.0,11.333333333333334,1.0,19.25,66.66666666666666,66.66666666666666,66.66666666666666,0.14782727441554838,62.01,B
JWL.NS,11,5,6,0,11,45.45454545454545,1.484146819678449,1.484146819678449,14.909090909090908,16.2,3.0,13.666666666666666,60.0,60.0,60.0,0.09954643302721305,62.0,B
NILASPACES.NS,9,4,4,1,8,50.0,-1.6071887694664788,-1.6071887694664788,10.88888888888889,2.75,2.0,6.5,75.0,100.0,100.0,-0.14759896862447253,61.99,B
ADANIPORTS.NS,13,6,5,2,11,54.54545454545454,0.6350026156630066,0.6350026156630066,20.923076923076923,9.333333333333334,9.5,18.4,16.666666666666664,66.66666666666666,100.0,0.030349389719187818,61.98,B
