Symbol,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade
MWL.NS,8,3,5,0,8,37.5,0.6001927343842539,0.6001927343842539,8.75,19.666666666666668,4.0,1.4,66.66666666666666,66.66666666666666,66.66666666666666,0.06859345535820045,57.1,B
GOACARBON.NS,11,3,7,1,10,30.0,-0.26285860819994994,-0.26285860819994994,14.090909090909092,1.0,1.0,12.428571428571429,100.0,100.0,100.0,-0.018654481872254512,57.09,B
ONEPOINT.NS,19,6,13,0,19,31.57894736842105,-1.335655419335146,-1.335655419335146,6.2631578947368425,3.8333333333333335,3.0,6.923076923076923,66.66666666666666,100.0,100.0,-0.2132559072888048,57.04,B
POWERINDIA.NS,24,8,16,0,24,33.33333333333333,-0.8446914996268533,-0.8446914996268533,5.25,4.75,3.0,4.875,75.0,75.0,100.0,-0.16089361897654347,57.01,B
SANGHVIMOV.NS,13,4,8,1,12,33.33333333333333,0.42034954307697003,0.42034954307697003,7.769230769230769,7.0,2.0,0.75,75.0,75.0,75.0,0.05410439663366941,56.99,B
TSFINV.NS,16,5,11,0,16,31.25,1.9141592387697386,1.9141592387697386,5.9375,13.6,9.0,1.8181818181818181,20.0,80.0,80.0,0.3223847138980612,56.99,B
TRIVENI.NS,16,4,10,2,14,28.57142857142857,-0.6387715526161192,-0.6387715526161192,12.25,4.5,4.0,5.2,50.0,100.0,100.0,-0.05214461654009136,56.93,B
UNIINFO.NS,9,4,5,0,9,44.44444444444444,-1.8793132128907277,-1.8793132128907277,3.6666666666666665,4.5,2.0,2.6,75.0,75.0,100.0,-0.5125399671520167,56.84,B
BEML.NS,9,4,4,1,8,50.0,2.654883532921841,2.654883532921841,17.333333333333332,13.0,14.0,9.75,25.0,50.0,75.0,0.15316635766856776,56.65,B
STAR.NS,6,1,4,1,5,20.0,2.6315264044251223,2.6315264044251223,11.833333333333334,2.0,2.0,1.5,100.0,100.0,100.0,0.22238251305001033,56.61,B
MARUTI.NS,11,4,5,2,9,44.44444444444444,0.8271390945647048,0.8271390945647048,18.90909090909091,11.5,10.0,7.8,50.0,50.0,75.0,0.043742932885633426,56.57,B
PKTEA.NS,20,7,13,0,20,35.0,-1.3554736711415867,-1.3554736711415867,11.25,13.571428571428571,3.0,9.384615384615385,57.14285714285714,71.42857142857143,71.42857142857143,-0.12048654854591881,56.52,B
AVALON.NS,8,4,4,0,8,50.0,4.163854350729285,4.163854350729285,8.0,14.0,15.0,1.25,25.0,25.0,75.0,0.5204817938411607,56.51,B
SIMPLEXINF.NS,13,4,8,1,12,33.33333333333333,0.10635979294080346,0.10635979294080346,14.461538461538462,6.25,5.0,12.375,75.0,75.0,100.0,0.007354666533140665,56.5,B
SAKAR.NS,17,5,11,1,16,31.25,-0.32796689290509007,-0.32796689290509007,6.235294117647059,3.8,2.0,1.4545454545454546,80.0,80.0,100.0,-0.05259846395647671,56.49,B
SBCL.NS,14,4,9,1,13,30.76923076923077,0.7572692552627893,0.7572692552627893,7.857142857142857,6.5,0.0,1.4444444444444444,75.0,75.0,75.0,0.09637972339708228,56.49,B
MBAPL.NS,21,6,15,0,21,28.57142857142857,-0.5334706896990118,-0.5334706896990118,5.809523809523809,10.833333333333334,1.5,3.0,66.66666666666666,83.33333333333334,83.33333333333334,-0.09182692199737089,56.43,B
GREENLAM.NS,7,2,5,0,7,28.57142857142857,0.2990805106436901,0.2990805106436901,7.428571428571429,1.5,1.5,9.4,100.0,100.0,100.0,0.04026083797126598,56.4,B
RAJTV.NS,9,3,6,0,9,33.33333333333333,1.212024432776686,1.212024432776686,6.111111111111111,10.333333333333334,4.0,3.5,66.66666666666666,66.66666666666666,66.66666666666666,0.19833127081800317,56.39,B
UNOMINDA.NS,13,4,6,3,10,40.0,0.19611247433191417,0.19611247433191417,19.692307692307693,7.0,7.0,6.666666666666667,50.0,75.0,100.0,0.009958836587167516,56.31,B
PCJEWELLER.NS,11,3,8,0,11,27.27272727272727,2.059181940947946,2.059181940947946,7.454545454545454,15.666666666666666,3.0,3.75,66.66666666666666,66.66666666666666,66.66666666666666,0.2762317237857001,56.29,B
RBLBANK.NS,6,2,2,2,4,50.0,4.970206453714601,4.970206453714601,27.833333333333332,19.0,19.0,3.5,50.0,50.0,50.0,0.1785702917502252,56.27,B
KAPSTON.NS,21,8,13,0,21,38.095238095238095,0.9699028093045431,0.9699028093045431,8.523809523809524,13.75,8.0,4.538461538461538,50.0,50.0,62.5,0.11378748042120337,56.25,B
SUPRIYA.NS,8,2,5,1,7,28.57142857142857,0.20377473462100548,0.20377473462100548,17.0,3.5,3.5,13.4,50.0,100.0,100.0,0.011986749095353263,56.25,B
SKMEGGPROD.NS,9,5,4,0,9,55.55555555555556,9.313176359327306,9.313176359327306,14.88888888888889,24.8,22.0,2.0,20.0,20.0,40.0,0.6255118450294459,56.22,B
AJANTPHARM.NS,13,5,8,0,13,38.46153846153847,0.17155619802782732,0.17155619802782732,7.846153846153846,13.4,6.0,3.625,40.0,80.0,80.0,0.0218650056309976,56.15,B
PAVNAIND.NS,12,3,8,1,11,27.27272727272727,-0.17340704871251145,-0.17340704871251145,6.5,3.3333333333333335,2.0,0.125,66.66666666666666,100.0,100.0,-0.02667800749423253,56.14,B
STYLAMIND.NS,14,5,7,2,12,41.66666666666667,-0.6979761411054168,-0.6979761411054168,15.214285714285714,7.4,7.0,7.571428571428571,20.0,80.0,100.0,-0.04587636608204618,56.08,B
BHARTIHEXA.NS,6,3,3,0,6,50.0,3.3261233900443323,3.3261233900443323,5.0,9.0,11.0,0.0,33.33333333333333,33.33333333333333,100.0,0.6652246780088664,56.03,B
GKWLIMITED.NS,8,3,5,0,8,37.5,1.833297207215565,1.833297207215565,9.625,22.666666666666668,6.0,1.2,33.33333333333333,66.66666666666666,66.66666666666666,0.19047243711330547,56.03,B
LATTEYS.NS,7,3,4,0,7,42.857142857142854,0.44761092645957923,0.44761092645957923,13.857142857142858,9.666666666666666,6.0,16.75,33.33333333333333,66.66666666666666,100.0,0.032301819435227364,56.01,B
BANARISUG.NS,9,3,5,1,8,37.5,-0.11498053560928392,-0.11498053560928392,13.11111111111111,10.333333333333334,4.0,4.4,66.66666666666666,66.66666666666666,66.66666666666666,-0.008769701868504707,55.99,B
LOTUSEYE.NS,12,4,7,1,11,36.36363636363637,0.9184915073565588,0.9184915073565588,9.916666666666666,9.5,7.5,2.142857142857143,50.0,75.0,75.0,0.09262099233847652,55.98,B
STEL.NS,11,3,7,1,10,30.0,0.9482816814683998,0.9482816814683998,11.363636363636363,4.333333333333333,6.0,6.571428571428571,33.33333333333333,100.0,100.0,0.08344878796921917,55.98,B
NITIRAJ.NS,14,5,9,0,14,35.714285714285715,-1.1601035341103072,-1.1601035341103072,2.7142857142857144,4.8,3.0,0.5555555555555556,60.0,80.0,100.0,-0.4274065651985342,55.97,B
RITCO.NS,9,3,6,0,9,33.33333333333333,0.9430935921108422,0.9430935921108422,5.0,7.666666666666667,4.0,3.0,66.66666666666666,66.66666666666666,100.0,0.18861871842216843,55.97,B
DIAMONDYD.NS,8,2,5,1,7,28.57142857142857,0.01824256047318573,0.01824256047318573,16.25,5.0,5.0,11.2,50.0,100.0,100.0,0.001122619106042199,55.96,B
FORTIS.NS,14,5,9,0,14,35.714285714285715,-1.1998455745818024,-1.1998455745818024,9.571428571428571,6.8,2.0,10.555555555555555,80.0,80.0,80.0,-0.12535700032944205,55.91,B
HIRECT.NS,16,5,11,0,16,31.25,-0.723817814260425,-0.723817814260425,6.6875,7.8,5.0,5.7272727272727275,80.0,80.0,80.0,-0.10823443951557757,55.87,B
SPLPETRO.NS,6,2,3,1,5,40.0,-1.0669571542319725,-1.0669571542319725,16.666666666666668,6.5,6.5,8.666666666666666,0.0,100.0,100.0,-0.06401742925391835,55.83,B
PRICOLLTD.NS,21,7,14,0,21,33.33333333333333,0.5325499435720926,0.5325499435720926,9.952380952380953,14.285714285714286,8.0,7.214285714285714,28.57142857142857,71.42857142857143,85.71428571428571,0.05350980294265045,55.81,B
HLVLTD.NS,9,3,5,1,8,37.5,-2.3916285084682265,-2.3916285084682265,8.333333333333334,0.3333333333333333,0.0,1.6,100.0,100.0,100.0,-0.28699542101618714,55.76,B
SDBL.NS,14,5,9,0,14,35.714285714285715,-1.311800986541032,-1.311800986541032,5.928571428571429,7.0,3.0,4.777777777777778,80.0,80.0,80.0,-0.22126763628402948,55.74,B
NSIL.NS,13,4,8,1,12,33.33333333333333,1.5203752983541747,1.5203752983541747,9.307692307692308,6.75,7.5,3.625,25.0,75.0,100.0,0.16334610643474604,55.71,B
RALLIS.NS,8,2,5,1,7,28.57142857142857,-0.13935439416730744,-0.13935439416730744,10.5,2.0,2.0,3.4,100.0,100.0,100.0,-0.01327184706355309,55.71,B
ABB.NS,13,3,8,2,11,27.27272727272727,-0.5257769140692343,-0.5257769140692343,11.692307692307692,0.6666666666666666,1.0,2.875,100.0,100.0,100.0,-0.044967762387500304,55.59,B
XCHANGING.NS,7,3,4,0,7,42.857142857142854,-3.90598303530412,-3.90598303530412,1.8571428571428572,0.0,0.0,2.0,100.0,100.0,100.0,-2.1032216343945263,55.54,B
GLFL.NS,8,3,5,0,8,37.5,-0.4058993056821194,-0.4058993056821194,13.375,21.0,4.0,8.2,66.66666666666666,66.66666666666666,66.66666666666666,-0.030347611639784628,55.53,B
LTTS.NS,8,2,5,1,7,28.57142857142857,-0.2729279125675703,-0.2729279125675703,19.25,2.0,2.0,17.8,100.0,100.0,100.0,-0.014178073380133523,55.5,B
PARAGMILK.NS,9,4,5,0,9,44.44444444444444,3.3067467122735597,3.3067467122735597,11.222222222222221,17.5,13.5,5.6,50.0,50.0,50.0,0.2946605981233865,55.44,B
AHLUCONT.NS,12,4,8,0,12,33.33333333333333,-0.5694297129290108,-0.5694297129290108,9.25,3.25,0.5,11.625,75.0,75.0,100.0,-0.061559968965298466,55.44,B
POCL.NS,14,5,9,0,14,35.714285714285715,1.68448975858844,1.68448975858844,8.571428571428571,15.6,10.0,4.222222222222222,20.0,60.0,60.0,0.19652380516865134,55.42,B
OMAXAUTO.NS,16,5,10,1,15,33.33333333333333,1.6287354228550444,1.6287354228550444,10.4375,15.8,6.0,1.9,40.0,60.0,60.0,0.1560465075789264,55.38,B
DHUNINV.NS,11,4,7,0,11,36.36363636363637,-1.3992831740532046,-1.3992831740532046,4.454545454545454,10.0,0.5,0.0,75.0,75.0,75.0,-0.3141247941752092,55.36,B
IVC.NS,7,3,4,0,7,42.857142857142854,0.02231571177676983,0.02231571177676983,11.0,15.333333333333334,10.0,7.0,33.33333333333333,66.66666666666666,66.66666666666666,0.0020287010706154392,55.34,B
LEXUS.NS,9,3,6,0,9,33.33333333333333,0.3034223583464428,0.3034223583464428,2.888888888888889,4.666666666666667,6.0,1.5,33.33333333333333,100.0,100.0,0.10503081635069175,55.31,B
BAJAJ-AUTO.NS,6,2,4,0,6,33.33333333333333,-1.6194779300229154,-1.6194779300229154,7.166666666666667,3.0,3.0,9.0,50.0,100.0,100.0,-0.22597366465436028,55.3,B
UPL.NS,6,2,2,2,4,50.0,-0.8289930880424466,-0.8289930880424466,31.666666666666668,8.5,8.5,25.5,50.0,50.0,100.0,-0.026178729096077262,55.2,B
TARIL.NS,20,7,13,0,20,35.0,0.6015652708089436,0.6015652708089436,4.95,10.285714285714286,6.0,1.3076923076923077,42.857142857142854,57.14285714285714,85.71428571428571,0.12152833753716032,55.15,B
PRIVISCL.NS,11,4,6,1,10,40.0,-0.5531039756906349,-0.5531039756906349,11.272727272727273,8.0,7.5,4.333333333333333,25.0,75.0,100.0,-0.049065675262878895,55.14,B
MODIRUBBER.NS,6,2,4,0,6,33.33333333333333,-1.7648932464582252,-1.7648932464582252,8.5,1.5,1.5,11.5,100.0,100.0,100.0,-0.20763449958332061,55.08,B
KIMS.NS,18,7,11,0,18,38.88888888888889,0.19055133705129665,0.19055133705129665,8.38888888888889,13.857142857142858,8.0,4.454545454545454,42.857142857142854,57.14285714285714,71.42857142857143,0.022714728920022118,55.07,B
INDIANCARD.NS,6,2,4,0,6,33.33333333333333,0.08075121603841377,0.08075121603841377,5.666666666666667,8.0,8.0,4.0,0.0,100.0,100.0,0.014250214595014195,54.96,C
CUPID.NS,14,4,10,0,14,28.57142857142857,0.34322676140996805,0.34322676140996805,6.571428571428571,14.5,4.0,2.8,50.0,75.0,75.0,0.05223015934499514,54.96,C
NHPC.NS,9,3,5,1,8,37.5,-0.8310195974140563,-0.8310195974140563,13.0,8.333333333333334,4.0,5.6,66.66666666666666,66.66666666666666,100.0,-0.06392458441646587,54.87,C
SYMPHONY.NS,6,2,4,0,6,33.33333333333333,-1.8983245604686525,-1.8983245604686525,12.833333333333334,5.0,5.0,16.5,50.0,100.0,100.0,-0.14792139432223267,54.87,C
ASKAUTOLTD.NS,10,4,6,0,10,40.0,-0.7350778097652494,-0.7350778097652494,19.9,14.0,6.0,23.666666666666668,50.0,75.0,75.0,-0.03693858340528892,54.85,C
CONCOR.NS,8,3,5,0,8,37.5,1.0668460358416165,1.0668460358416165,9.875,16.333333333333332,9.0,5.6,33.33333333333333,66.66666666666666,66.66666666666666,0.10803504160421433,54.83,C
ARIHANTCAP.NS,14,4,8,2,12,33.33333333333333,-0.9709645320010386,-0.9709645320010386,14.071428571428571,13.5,3.0,2.25,75.0,75.0,75.0,-0.06900255557367788,54.82,C
BBL.NS,15,4,10,1,14,28.57142857142857,-0.43994754722639473,-0.43994754722639473,6.8,5.0,2.0,1.5,75.0,75.0,100.0,-0.06469816870976393,54.74,C
COFORGE.NS,9,3,4,2,7,42.857142857142854,-0.37334828136655474,-0.37334828136655474,26.88888888888889,15.333333333333334,8.0,17.75,33.33333333333333,66.66666666666666,66.66666666666666,-0.013884853439252035,54.73,C
JINDWORLD.NS,9,3,6,0,9,33.33333333333333,0.13874638063063452,0.13874638063063452,7.111111111111111,15.666666666666666,3.0,1.8333333333333333,66.66666666666666,66.66666666666666,66.66666666666666,0.01951120977618298,54.72,C
KSL.NS,8,3,5,0,8,37.5,-0.9630810917610688,-0.9630810917610688,11.875,14.333333333333334,4.0,10.0,66.66666666666666,66.66666666666666,66.66666666666666,-0.08110156562198474,54.66,C
LODHA.NS,11,3,7,1,10,30.0,-1.8237376338923819,-1.8237376338923819,9.909090909090908,1.6666666666666667,1.0,5.571428571428571,100.0,100.0,100.0,-0.18404691718180002,54.65,C
NAVINFLUOR.NS,14,5,8,1,13,38.46153846153847,-0.7957527019465481,-0.7957527019465481,14.642857142857142,9.8,10.0,11.0,40.0,80.0,80.0,-0.05434408696220329,54.64,C
KPRMILL.NS,12,4,7,1,11,36.36363636363637,1.6240063039488977,1.6240063039488977,11.166666666666666,8.25,8.5,5.285714285714286,50.0,50.0,100.0,0.14543340035363264,54.58,C
AGI.NS,14,4,9,1,13,30.76923076923077,-0.46316957415359356,-0.46316957415359356,9.285714285714286,3.75,1.5,5.222222222222222,75.0,75.0,100.0,-0.049879800293463915,54.58,C
KHANDSE.NS,9,3,6,0,9,33.33333333333333,-0.1881051767323289,-0.1881051767323289,6.444444444444445,5.0,7.0,6.5,33.33333333333333,100.0,100.0,-0.029188734320533795,54.54,C
UNIVCABLES.NS,26,6,19,1,25,24.0,-0.5747908493421908,-0.5747908493421908,5.846153846153846,5.166666666666667,4.5,2.4210526315789473,50.0,83.33333333333334,100.0,-0.09831948738748002,54.54,C
KICL.NS,11,3,8,0,11,27.27272727272727,-1.2030501357617005,-1.2030501357617005,8.727272727272727,5.0,5.0,9.5,66.66666666666666,100.0,100.0,-0.13784949472269487,54.53,C
WEL.NS,17,5,12,0,17,29.411764705882355,-1.149943677580966,-1.149943677580966,7.764705882352941,7.4,2.0,7.416666666666667,60.0,80.0,80.0,-0.14809880696118502,54.47,C
ASHIANA.NS,8,2,5,1,7,28.57142857142857,-0.9307675434956124,-0.9307675434956124,12.0,4.0,4.0,4.8,100.0,100.0,100.0,-0.0775639619579677,54.47,C
PFOCUS.NS,14,4,8,2,12,33.33333333333333,-1.2044944445028063,-1.2044944445028063,12.428571428571429,8.5,3.0,1.625,75.0,75.0,75.0,-0.09691334610942119,54.45,C
MEGASTAR.NS,18,6,12,0,18,33.33333333333333,-1.3134938996515169,-1.3134938996515169,6.166666666666667,9.166666666666666,4.0,4.166666666666667,66.66666666666666,66.66666666666666,83.33333333333334,-0.21299901075430003,54.45,C
KIRLOSBROS.NS,15,4,10,1,14,28.57142857142857,-2.2283680334456557,-2.2283680334456557,9.0,3.25,1.5,5.7,75.0,100.0,100.0,-0.24759644816062842,54.45,C
ELECTCAST.NS,9,2,6,1,8,25.0,-0.032510396457255036,-0.032510396457255036,13.777777777777779,4.0,4.0,8.5,50.0,100.0,100.0,-0.0023596255493168977,54.45,C
ANTELOPUS.NS,20,5,14,1,19,26.31578947368421,-1.036216713172743,-1.036216713172743,6.7,6.2,1.0,2.2142857142857144,80.0,80.0,80.0,-0.15465921092130494,54.41,C
KHAITANLTD.NS,13,4,9,0,13,30.76923076923077,1.337604326796352,1.337604326796352,4.230769230769231,7.0,8.0,2.3333333333333335,25.0,75.0,100.0,0.31616102269731955,54.4,C
BLKASHYAP.NS,11,4,6,1,10,40.0,0.5508319547023365,0.5508319547023365,11.818181818181818,10.5,9.5,4.0,25.0,50.0,100.0,0.04660885770558232,54.36,C
COHANCE.NS,16,4,11,1,15,26.666666666666668,-1.7948041017422967,-1.7948041017422967,6.125,2.75,2.5,2.0,100.0,100.0,100.0,-0.2930292411007831,54.36,C
SIEMENS.NS,13,4,9,0,13,30.76923076923077,-0.6275194940304034,-0.6275194940304034,5.384615384615385,4.75,2.0,5.222222222222222,75.0,75.0,100.0,-0.11653933460564633,54.33,C
TIINDIA.NS,16,5,11,0,16,31.25,-0.5122086648838471,-0.5122086648838471,6.25,8.2,4.0,4.7272727272727275,60.0,60.0,80.0,-0.08195338638141553,54.2,C
ANNAPURNA.NS,9,3,6,0,9,33.33333333333333,-0.4113379019701024,-0.4113379019701024,3.888888888888889,7.666666666666667,8.0,1.1666666666666667,0.0,100.0,100.0,-0.10577260336374061,54.19,C
LLOYDSENGG.NS,12,6,6,0,12,50.0,0.401669489608197,0.401669489608197,11.583333333333334,15.166666666666666,13.5,7.333333333333333,50.0,50.0,50.0,0.034676502699988225,54.13,C
ARVIND.NS,11,5,6,0,11,45.45454545454545,4.765481486729728,4.765481486729728,11.727272727272727,21.4,16.0,3.0,20.0,40.0,80.0,0.40635888646532564,54.13,C
ACE.NS,10,3,6,1,9,33.33333333333333,1.0380859727537721,1.0380859727537721,15.1,10.666666666666666,7.0,9.333333333333334,33.33333333333333,66.66666666666666,100.0,0.06874741541415709,54.12,C
MARKSANS.NS,9,4,4,1,8,50.0,2.5889161735340562,2.5889161735340562,13.444444444444445,13.5,14.5,1.0,0.0,25.0,100.0,0.19256401290749178,54.05,C
AFSL.NS,10,3,7,0,10,30.0,-0.0834282259873202,-0.0834282259873202,10.1,12.0,5.0,8.714285714285714,66.66666666666666,66.66666666666666,66.66666666666666,-0.00826022039478418,54.04,C
MOHITIND.NS,8,3,5,0,8,37.5,-1.613241718285447,-1.613241718285447,8.5,5.333333333333333,7.0,9.8,33.33333333333333,100.0,100.0,-0.18979314332769964,53.98,C
HUHTAMAKI.NS,7,2,4,1,6,33.33333333333333,2.6570306318297563,2.6570306318297563,13.857142857142858,7.5,7.5,5.0,50.0,50.0,100.0,0.19174447858565252,53.98,C
GALAXYSURF.NS,6,2,4,0,6,33.33333333333333,-0.5689451462640053,-0.5689451462640053,8.0,7.5,7.5,8.0,0.0,100.0,100.0,-0.07111814328300066,53.94,C
CERA.NS,7,3,3,1,6,50.0,1.937805297442633,1.937805297442633,18.428571428571427,20.333333333333332,12.0,1.6666666666666667,33.33333333333333,33.33333333333333,66.66666666666666,0.10515222544262351,53.86,C
DNAMEDIA.NS,12,4,8,0,12,33.33333333333333,-1.267813996931288,-1.267813996931288,10.0,4.75,5.5,12.5,50.0,100.0,100.0,-0.1267813996931288,53.85,C
SMLMAH.NS,16,4,12,0,16,25.0,-0.15652232846583525,-0.15652232846583525,7.9375,15.25,5.0,5.0,50.0,75.0,75.0,-0.019719348468136725,53.76,C
AIAENG.NS,9,4,3,2,7,57.14285714285714,4.0665196301393856,4.0665196301393856,24.22222222222222,21.75,21.0,2.6666666666666665,0.0,50.0,50.0,0.16788383794153428,53.71,C
INFOBEAN.NS,6,1,4,1,5,20.0,0.7712130831093796,0.7712130831093796,11.666666666666666,4.0,4.0,1.0,100.0,100.0,100.0,0.06610397855223255,53.71,C
JISLDVREQS.NS,9,3,6,0,9,33.33333333333333,1.397223834218003,1.397223834218003,6.0,10.666666666666666,10.0,3.0,33.33333333333333,66.66666666666666,66.66666666666666,0.23287063903633384,53.68,C
YESBANK.NS,9,3,6,0,9,33.33333333333333,1.3875706995331654,1.3875706995331654,8.333333333333334,20.666666666666668,10.0,1.3333333333333333,33.33333333333333,66.66666666666666,66.66666666666666,0.16650848394397982,53.67,C
TFCILTD.NS,17,6,9,2,15,40.0,2.021687386780995,2.021687386780995,13.0,11.333333333333334,10.5,2.7777777777777777,33.33333333333333,50.0,83.33333333333334,0.15551441436776883,53.66,C
NELCO.NS,6,2,4,0,6,33.33333333333333,-0.7665838929915818,-0.7665838929915818,6.5,5.5,5.5,6.75,50.0,100.0,100.0,-0.11793598353716643,53.64,C
SAKUMA.NS,15,4,11,0,15,26.666666666666668,-2.267139570666236,-2.267139570666236,7.866666666666666,4.0,4.0,8.545454545454545,75.0,100.0,100.0,-0.28819570813553846,53.62,C
DHANUKA.NS,8,2,5,1,7,28.57142857142857,-1.4906145548621934,-1.4906145548621934,9.875,5.0,5.0,1.0,50.0,100.0,100.0,-0.1509483093531335,53.6,C
PETRONET.NS,6,2,3,1,5,40.0,0.6956997839340407,0.6956997839340407,12.5,5.5,5.5,0.0,50.0,50.0,100.0,0.05565598271472326,53.59,C
KRISHNADEF.NS,21,7,14,0,21,33.33333333333333,0.028854552770464892,0.028854552770464892,8.523809523809524,13.571428571428571,8.0,5.214285714285714,42.857142857142854,57.14285714285714,71.42857142857143,0.0033851709954176687,53.59,C
MONARCH.NS,15,5,10,0,15,33.33333333333333,0.47611542504849774,0.47611542504849774,7.733333333333333,16.0,9.0,2.9,40.0,60.0,80.0,0.06156664979075402,53.58,C
KRITINUT.NS,10,3,7,0,10,30.0,-0.3976429882840888,-0.3976429882840888,4.5,11.666666666666666,1.0,0.42857142857142855,66.66666666666666,66.66666666666666,66.66666666666666,-0.08836510850757529,53.55,C
MANAKSIA.NS,6,3,3,0,6,50.0,4.290772772824592,4.290772772824592,7.5,12.666666666666666,16.0,1.6666666666666667,33.33333333333333,33.33333333333333,66.66666666666666,0.5721030363766123,53.54,C
CNL.NS,15,5,9,1,14,35.714285714285715,-0.16421619062212375,-0.16421619062212375,10.533333333333333,13.0,10.0,3.111111111111111,40.0,60.0,80.0,-0.015590144679315547,53.53,C
BAJAJHLDNG.NS,16,5,11,0,16,31.25,-0.34194512207529326,-0.34194512207529326,6.1875,6.4,6.0,5.363636363636363,40.0,80.0,100.0,-0.05526385811317871,53.47,C
CRISIL.NS,8,3,5,0,8,37.5,0.13569704012431538,0.13569704012431538,7.375,9.0,9.0,5.8,33.33333333333333,66.66666666666666,100.0,0.01839959866092412,53.38,C
COALINDIA.NS,6,2,3,1,5,40.0,0.4871127665417457,0.4871127665417457,15.0,9.5,9.5,3.6666666666666665,50.0,50.0,100.0,0.032474184436116375,53.26,C
GOKULAGRO.NS,15,4,10,1,14,28.57142857142857,0.5078384938917673,0.5078384938917673,10.666666666666666,12.5,7.0,4.6,25.0,75.0,75.0,0.04760985880235318,53.22,C
MRF.NS,6,1,3,2,4,25.0,-0.8250539384553791,-0.8250539384553791,22.0,2.0,2.0,2.6666666666666665,100.0,100.0,100.0,-0.03750245174797178,53.21,C
M&MFIN.NS,12,4,8,0,12,33.33333333333333,-2.0185101468527296,-2.0185101468527296,9.166666666666666,7.5,3.5,9.625,75.0,75.0,75.0,-0.22020110692938868,53.18,C
WELCORP.NS,18,7,11,0,18,38.88888888888889,2.431852662022212,2.431852662022212,8.61111111111111,17.142857142857142,12.0,2.8181818181818183,28.57142857142857,42.857142857142854,71.42857142857143,0.2824086962348375,53.14,C
AUBANK.NS,9,3,5,1,8,37.5,-0.08885041967816489,-0.08885041967816489,32.0,17.0,7.0,35.0,33.33333333333333,66.66666666666666,66.66666666666666,-0.0027765756149426527,53.03,C
AETHER.NS,8,2,5,1,7,28.57142857142857,-1.874104210210402,-1.874104210210402,9.375,0.5,0.5,2.2,100.0,100.0,100.0,-0.19990444908910954,53.0,C
SONAMLTD.NS,14,4,10,0,14,28.57142857142857,-0.9131766472855214,-0.9131766472855214,4.214285714285714,6.75,2.0,2.4,75.0,75.0,75.0,-0.21668598410164913,53.0,C
PGHL.NS,9,2,6,1,8,25.0,-0.9818995205089962,-0.9818995205089962,11.555555555555555,1.0,1.0,6.5,100.0,100.0,100.0,-0.0849720738902016,52.97,C
OSWALSEEDS.NS,8,2,6,0,8,25.0,-0.9781046947049181,-0.9781046947049181,6.125,4.0,4.0,6.5,100.0,100.0,100.0,-0.15969056240080295,52.97,C
BETA.NS,13,3,9,1,12,25.0,0.508860350839764,0.508860350839764,9.538461538461538,12.0,4.0,2.3333333333333335,66.66666666666666,66.66666666666666,66.66666666666666,0.05334826258803978,52.96,C
NLCINDIA.NS,12,5,7,0,12,41.66666666666667,-1.427748054834117,-1.427748054834117,15.75,8.0,7.0,21.0,40.0,60.0,80.0,-0.0906506701481979,52.94,C
RAJSREESUG.NS,9,3,6,0,9,33.33333333333333,-3.1342523629484083,-3.1342523629484083,4.777777777777778,0.6666666666666666,1.0,6.333333333333333,100.0,100.0,100.0,-0.6560063085240855,52.94,C
PILANIINVS.NS,10,3,7,0,10,30.0,-0.7834315347335084,-0.7834315347335084,12.3,16.0,3.0,10.142857142857142,66.66666666666666,66.66666666666666,66.66666666666666,-0.06369362071004132,52.94,C
KARMAENG.NS,14,4,10,0,14,28.57142857142857,-2.571312257623312,-2.571312257623312,7.5,2.25,2.0,9.4,100.0,100.0,100.0,-0.34284163434977494,52.91,C
VLSFINANCE.NS,8,2,5,1,7,28.57142857142857,-1.9418482147444651,-1.9418482147444651,8.5,1.5,1.5,0.2,100.0,100.0,100.0,-0.22845273114640766,52.89,C
WORTHPERI.NS,12,3,9,0,12,25.0,-1.6848610909351265,-1.6848610909351265,5.333333333333333,5.0,4.0,4.777777777777778,66.66666666666666,100.0,100.0,-0.31591145455033626,52.87,C
BSHSL.NS,7,2,5,0,7,28.57142857142857,-1.9670336947305225,-1.9670336947305225,2.2857142857142856,2.5,2.5,1.4,100.0,100.0,100.0,-0.8605772414446037,52.86,C
SIL.NS,6,2,4,0,6,33.33333333333333,-3.192438319105941,-3.192438319105941,4.833333333333333,2.5,2.5,5.75,100.0,100.0,100.0,-0.6605044798150222,52.85,C
EMKAY.NS,11,3,6,2,9,33.33333333333333,-1.7097129084520766,-1.7097129084520766,15.454545454545455,4.333333333333333,1.0,4.833333333333333,66.66666666666666,66.66666666666666,100.0,-0.11062848231160495,52.83,C
BIL.NS,17,4,12,1,16,25.0,-0.7652569911918663,-0.7652569911918663,8.823529411764707,11.75,1.5,2.8333333333333335,75.0,75.0,75.0,-0.08672912566841151,52.8,C
ENGINERSIN.NS,6,2,3,1,5,40.0,2.7088490260604026,2.7088490260604026,16.166666666666668,14.0,14.0,2.3333333333333335,50.0,50.0,50.0,0.16755767171507643,52.73,C
