SYMBOL,NIFTY50,FNO,SMALLCAP250,MICROCAP250
GLOBALVECT,NO,NO,NO,NO
GLOBE,NO,NO,NO,NO
GLOBECIVIL,NO,NO,NO,NO
GLOBUSSPR,NO,NO,NO,NO
GLOSTERLTD,NO,NO,NO,NO
GMBREW,NO,NO,NO,NO
GMDCLTD,NO,NO,YES,NO
GMMPFAUDLR,NO,NO,NO,YES
GMRAIRPORT,NO,YES,NO,NO
GMRP&UI,NO,NO,NO,YES
GNA,NO,NO,NO,NO
GNFC,NO,NO,NO,YES
GNRL,NO,NO,NO,NO
GOACARBON,NO,NO,NO,NO
GOCLCORP,NO,NO,NO,NO
GOCOLORS,NO,NO,NO,NO
GODAVARIB,NO,NO,NO,NO
GODFRYPHLP,NO,YES,NO,NO
GODIGIT,NO,NO,YES,NO
GODREJAGRO,NO,NO,NO,YES
GODREJCP,NO,YES,NO,NO
GODREJIND,NO,NO,NO,NO
GODREJPROP,NO,YES,NO,NO
GOKEX,NO,NO,NO,YES
GOKUL,NO,NO,NO,NO
GOKULAGRO,NO,NO,NO,YES
GOLDIAM,NO,NO,NO,NO
GOODLUCK,NO,NO,NO,NO
GOODYEAR,NO,NO,NO,NO
GOPAL,NO,NO,NO,NO
GOYALALUM,NO,NO,NO,NO
GPIL,NO,NO,YES,NO
GPPL,NO,NO,NO,YES
GPTHEALTH,NO,NO,NO,NO
GPTINFRA,NO,NO,NO,NO
GRADIENTE,NO,NO,NO,NO
GRANDOAK,NO,NO,NO,NO
GRANULES,NO,NO,YES,NO
GRAPHITE,NO,NO,YES,NO
GRASIM,YES,YES,NO,NO
GRAUWEIL,NO,NO,NO,NO
GRAVISSHO,NO,NO,NO,NO
GRAVITA,NO,NO,YES,NO
GREAVESCOT,NO,NO,NO,YES
GREENLAM,NO,NO,NO,NO
GREENPANEL,NO,NO,NO,NO
GREENPLY,NO,NO,NO,NO
GREENPOWER,NO,NO,NO,NO
GRINDWELL,NO,NO,NO,YES
GRINFRA,NO,NO,NO,NO
GRMOVER,NO,NO,NO,NO
GROBTEA,NO,NO,NO,NO
GROWW,NO,NO,NO,NO
GRPLTD,NO,NO,NO,NO
GRSE,NO,NO,YES,NO
GRWRHITECH,NO,NO,NO,YES
GSFC,NO,NO,NO,YES
GSLSU,NO,NO,NO,NO
GSPCROP,NO,NO,NO,NO
GSS,NO,NO,NO,NO
GTL,NO,NO,NO,NO
GTLINFRA,NO,NO,NO,NO
GTPL,NO,NO,NO,NO
GUFICBIO,NO,NO,NO,NO
GUJALKALI,NO,NO,NO,NO
GUJAPOLLO,NO,NO,NO,NO
GUJENERGY,NO,NO,NO,NO
GUJRAFFIA,NO,NO,NO,NO
GUJTHEM,NO,NO,NO,NO
GULFOILLUB,NO,NO,NO,NO
GULPOLY,NO,NO,NO,NO
GVPIL,NO,NO,NO,NO
GVPTECH,NO,NO,NO,NO
GVT&D,NO,YES,NO,NO
GYFTR,NO,NO,NO,NO
HAL,NO,YES,NO,NO
HALDER,NO,NO,NO,NO
HALEOSLABS,NO,NO,NO,NO
HAMPTON,NO,NO,NO,NO
HAPPSTMNDS,NO,NO,NO,YES
HAPPYFORGE,NO,NO,NO,NO
HARDWYN,NO,NO,NO,NO
HARIOMPIPE,NO,NO,NO,NO
HARRMALAYA,NO,NO,NO,NO
HARSHA,NO,NO,NO,NO
HATHWAY,NO,NO,NO,NO
HATSUN,NO,NO,NO,NO
HAVELLS,NO,YES,NO,NO
HAVISHA,NO,NO,NO,NO
HAWKINCOOK,NO,NO,NO,NO
HAZOOR,NO,NO,NO,NO
HBESD,NO,NO,NO,NO
HBLENGINE,NO,NO,YES,NO
HBPOR,NO,NO,NO,NO
HBSL,NO,NO,NO,NO
HCC,NO,NO,NO,YES
HCG,NO,NO,NO,YES
HCL-INSYS,NO,NO,NO,NO
HCLTECH,YES,YES,NO,NO
HDBFS,NO,NO,NO,NO
HDFCAMC,NO,YES,NO,NO
HDFCBANK,YES,YES,NO,NO
HDFCLIFE,YES,YES,NO,NO
HEADSUP,NO,NO,NO,NO
HEALTHX,NO,NO,NO,NO
HECPROJECT,NO,NO,NO,NO
HEG,NO,NO,YES,NO
HEIDELBERG,NO,NO,NO,NO
HEMIPROP,NO,NO,NO,YES
HERANBA,NO,NO,NO,NO
HERITGFOOD,NO,NO,NO,YES
HEROMOTOCO,NO,YES,NO,NO
HESTERBIO,NO,NO,NO,NO
HEXATRADEX,NO,NO,NO,NO
HEXT,NO,NO,NO,NO
HFCL,NO,NO,YES,NO
HGINFRA,NO,NO,NO,YES
HGM,NO,NO,NO,NO
HGS,NO,NO,NO,NO
HIKAL,NO,NO,NO,NO
HILINFRA,NO,NO,NO,NO
HIMATSEIDE,NO,NO,NO,NO
HINDADH,NO,NO,NO,NO
HINDALCO,YES,YES,NO,NO
HINDALUMI,NO,NO,NO,NO
HINDCOMPOS,NO,NO,NO,NO
HINDCON,NO,NO,NO,NO
HINDCOPPER,NO,NO,YES,NO
HINDOILEXP,NO,NO,NO,NO
HINDPETRO,NO,YES,NO,NO
HINDUNILVR,YES,YES,NO,NO
HINDWAREAP,NO,NO,NO,NO
HINDZINC,NO,YES,NO,NO
HIRECT,NO,NO,NO,NO
HISARMETAL,NO,NO,NO,NO
HITECH,NO,NO,NO,NO
HLEGLAS,NO,NO,NO,NO
HLVLTD,NO,NO,NO,NO
HMAAGRO,NO,NO,NO,NO
HNDFDS,NO,NO,NO,NO
HOMEFIRST,NO,NO,YES,NO
HONASA,NO,NO,YES,NO
HONAUT,NO,NO,NO,NO
HONDAPOWER,NO,NO,NO,NO
HPAL,NO,NO,NO,NO
HPIL,NO,NO,NO,NO
HPL,NO,NO,NO,NO
HRYNSHP,NO,NO,NO,NO
HSCL,NO,NO,YES,NO
HTMEDIA,NO,NO,NO,NO
HUBTOWN,NO,NO,NO,NO
HUDCO,NO,NO,NO,NO
HUHTAMAKI,NO,NO,NO,NO
HYUNDAI,NO,YES,NO,NO
IBULLSLTD,NO,NO,NO,NO
ICDSLTD,NO,NO,NO,NO
ICEMAKE,NO,NO,NO,NO
ICICIAMC,NO,NO,NO,NO
ICICIBANK,YES,YES,NO,NO
ICICIGI,NO,YES,NO,NO
ICICIPRULI,NO,YES,NO,NO
ICIL,NO,NO,NO,YES
ICRA,NO,NO,NO,NO
IDBI,NO,NO,YES,NO
IDEA,NO,YES,NO,NO
IDEAFORGE,NO,NO,NO,NO
IDFCFIRSTB,NO,YES,NO,NO
IEX,NO,YES,YES,NO
IFBAGRO,NO,NO,NO,NO
IFBIND,NO,NO,NO,YES
IFCI,NO,NO,YES,NO
IFGLEXPOR,NO,NO,NO,NO
IGARASHI,NO,NO,NO,NO
IGCL,NO,NO,NO,NO
IGIL,NO,NO,YES,NO
IGL,NO,NO,YES,NO
IGPL,NO,NO,NO,NO
IIFL,NO,NO,YES,NO
IIFLCAPS,NO,NO,NO,YES
IITL,NO,NO,NO,NO
IKIO,NO,NO,NO,NO
IKS,NO,NO,YES,NO
IMAGICAA,NO,NO,NO,NO
IMFA,NO,NO,NO,YES
IMPAL,NO,NO,NO,NO
INA,NO,NO,NO,NO
INCREDIBLE,NO,NO,NO,NO
INDBANK,NO,NO,NO,NO
INDGN,NO,NO,YES,NO
INDHOTEL,NO,YES,NO,NO
INDIACEM,NO,NO,YES,NO
INDIAGLYCO,NO,NO,NO,YES
INDIAMART,NO,NO,YES,NO
INDIANB,NO,YES,NO,NO
INDIANCARD,NO,NO,NO,NO
INDIANHUME,NO,NO,NO,NO
INDIASHLTR,NO,NO,NO,YES
INDIGO,YES,YES,NO,NO
INDIGOPNTS,NO,NO,NO,YES
INDIQUBE,NO,NO,NO,NO
INDNIPPON,NO,NO,NO,NO
INDOBORAX,NO,NO,NO,NO
INDOCO,NO,NO,NO,NO
INDOFARM,NO,NO,NO,NO
INDOKEM,NO,NO,NO,NO
INDOMIM,NO,NO,NO,NO
INDORAMA,NO,NO,NO,NO
INDOSTAR,NO,NO,NO,NO
INDOTECH,NO,NO,NO,NO
INDOTHAI,NO,NO,NO,NO
INDOUS,NO,NO,NO,NO
INDOWIND,NO,NO,NO,NO
INDPRUD,NO,NO,NO,NO
INDRAMEDCO,NO,NO,NO,NO
INDSWFTLAB,NO,NO,NO,NO
INDTERRAIN,NO,NO,NO,NO
INDUSINDBK,NO,YES,NO,NO
INDUSTOWER,NO,YES,NO,NO
INFOBEAN,NO,NO,NO,NO
INFOMEDIA,NO,NO,NO,NO
INFY,YES,YES,NO,NO
INGERRAND,NO,NO,NO,NO
INNOVACAP,NO,NO,NO,NO
INNOVANA,NO,NO,NO,NO
INNOVISION,NO,NO,NO,NO
INOXGREEN,NO,NO,NO,YES
INOXINDIA,NO,NO,NO,YES
INOXWIND,NO,YES,YES,NO
INSECTICID,NO,NO,NO,NO
INTELLECT,NO,NO,YES,NO
INTENTECH,NO,NO,NO,NO
INTERARCH,NO,NO,NO,NO
INTLCONV,NO,NO,NO,NO
INVENTURE,NO,NO,NO,NO
IOB,NO,NO,YES,NO
IOC,NO,YES,NO,NO
IOLCP,NO,NO,NO,NO
IONEXCHANG,NO,NO,NO,YES
IPCALAB,NO,NO,NO,NO
IPL,NO,NO,NO,NO
IPRINGLTD,NO,NO,NO,NO
IRB,NO,NO,YES,NO
IRCON,NO,NO,YES,NO
IRCTC,NO,NO,NO,NO
IREDA,NO,YES,NO,NO
IRFC,NO,YES,NO,NO
IRIS,NO,NO,NO,NO
IRISDOREME,NO,NO,NO,NO
IRMENERGY,NO,NO,NO,NO
ISFT,NO,NO,NO,NO
ISGEC,NO,NO,NO,NO
ISHANCH,NO,NO,NO,NO
ISTLTD,NO,NO,NO,NO
ITC,YES,YES,NO,NO
ITCHOTELS,NO,NO,NO,NO
ITDC,NO,NO,NO,NO
ITI,NO,NO,YES,NO
ITL,NO,NO,NO,NO
IVALUE,NO,NO,NO,NO
IVC,NO,NO,NO,NO
IWP,NO,NO,NO,NO
IXIGO,NO,NO,NO,YES
IZMO,NO,NO,NO,NO
J&KBANK,NO,NO,YES,NO
JAGRAN,NO,NO,NO,NO
JAGSNPHARM,NO,NO,NO,NO
JAIBALAJI,NO,NO,NO,YES
JAICORPLTD,NO,NO,NO,NO
JAINREC,NO,NO,YES,NO
JAIPURKURT,NO,NO,NO,NO
JAMNAAUTO,NO,NO,NO,YES
JARO,NO,NO,NO,NO
JASH,NO,NO,NO,NO
JAYAGROGN,NO,NO,NO,NO
JAYBARMARU,NO,NO,NO,NO
JAYKAY,NO,NO,NO,NO
JAYNECOIND,NO,NO,NO,YES
JAYSREETEA,NO,NO,NO,NO
JBMA,NO,NO,YES,NO
JENBURPH,NO,NO,NO,NO
JETFREIGHT,NO,NO,NO,NO
JGCHEM,NO,NO,NO,NO
JHS,NO,NO,NO,NO
JINDALPHOT,NO,NO,NO,NO
JINDALPOLY,NO,NO,NO,NO
JINDALSAW,NO,NO,YES,NO
JINDALSTEL,NO,YES,NO,NO
JINDRILL,NO,NO,NO,NO
JINDWORLD,NO,NO,NO,NO
JIOFIN,YES,YES,NO,NO
JISLDVREQS,NO,NO,NO,NO
JISLJALEQS,NO,NO,NO,NO
JITFINFRA,NO,NO,NO,NO
JKCEMENT,NO,NO,NO,NO
JKIL,NO,NO,NO,NO
JKIPL,NO,NO,NO,NO
JKLAKSHMI,NO,NO,NO,YES
JKPAPER,NO,NO,NO,YES
JKTYRE,NO,NO,YES,NO
JLHL,NO,NO,NO,YES
JMA,NO,NO,NO,NO
JMFINANCIL,NO,NO,YES,NO
JNKINDIA,NO,NO,NO,NO
JNPR,NO,NO,NO,NO
JPOLYINVST,NO,NO,NO,NO
JPPOWER,NO,NO,YES,NO
JSFB,NO,NO,NO,YES
JSL,NO,NO,NO,NO
JSLL,NO,NO,NO,YES
JSWCEMENT,NO,NO,YES,NO
JSWDULUX,NO,NO,YES,NO
JSWENERGY,NO,YES,NO,NO
JSWHL,NO,NO,NO,NO
JSWINFRA,NO,NO,NO,NO
JSWSTEEL,YES,YES,NO,NO
JTEKTINDIA,NO,NO,NO,NO
JTLIND,NO,NO,NO,NO
JUBLCPL,NO,NO,NO,NO
JUBLFOOD,NO,YES,NO,NO
JUBLINGREA,NO,NO,YES,NO
JUBLPHARMA,NO,NO,YES,NO
JUNIPER,NO,NO,NO,NO
JUSTDIAL,NO,NO,NO,YES
JWL,NO,NO,YES,NO
JYOTHYLAB,NO,NO,NO,YES
JYOTICNC,NO,NO,YES,NO
JYOTIRES,NO,NO,NO,NO
JYOTISTRUC,NO,NO,NO,NO
KABRAEXTRU,NO,NO,NO,NO
KAJARIACER,NO,NO,YES,NO
KAKATCEM,NO,NO,NO,NO
KALAMANDIR,NO,NO,NO,NO
KALPATARU,NO,NO,NO,NO
KALYANIFRG,NO,NO,NO,NO
KALYANKJIL,NO,YES,NO,NO
KAMAHOLD,NO,NO,NO,NO
KAMANWALA,NO,NO,NO,NO
KAMATHOTEL,NO,NO,NO,NO
KAMOPAINTS,NO,NO,NO,NO
KANANIIND,NO,NO,NO,NO
KANCHI,NO,NO,NO,NO
KANCOTEA,NO,NO,NO,NO
KANPRPLA,NO,NO,NO,NO
KANSAINER,NO,NO,NO,YES
KAPSTON,NO,NO,NO,NO
KARMAENG,NO,NO,NO,NO
KARURVYSYA,NO,NO,YES,NO
KAVDEFENCE,NO,NO,NO,NO
KAYA,NO,NO,NO,NO
KAYNES,NO,YES,YES,NO
KCP,NO,NO,NO,NO
KDDL,NO,NO,NO,NO
KEC,NO,NO,YES,NO
KECL,NO,NO,NO,NO
KEEPLEARN,NO,NO,NO,NO
KEI,NO,YES,NO,NO
KELLTONTEC,NO,NO,NO,NO
KENNAMET,NO,NO,NO,NO
KERNEX,NO,NO,NO,NO
KEYFINSERV,NO,NO,NO,NO
KFINTECH,NO,YES,YES,NO
KHAICHEM,NO,NO,NO,NO
KHAITANLTD,NO,NO,NO,NO
KHANDSE,NO,NO,NO,NO
KICL,NO,NO,NO,NO
KIMS,NO,NO,YES,NO
KINGFA,NO,NO,NO,NO
KIOCL,NO,NO,NO,NO
KIRANVYPAR,NO,NO,NO,NO
KIRIINDUS,NO,NO,NO,NO
KIRLFER,NO,NO,NO,NO
KIRLOSBROS,NO,NO,NO,YES
KIRLOSENG,NO,NO,YES,NO
KIRLOSIND,NO,NO,NO,NO
KIRLPNU,NO,NO,NO,YES
KISSHT,NO,NO,NO,NO
KITEX,NO,NO,NO,YES
KJMCFIN,NO,NO,NO,NO
KKCL,NO,NO,NO,NO
KLBRENG-B,NO,NO,NO,NO
KMCSHIL,NO,NO,NO,NO
KMEW,NO,NO,NO,NO
KMSUGAR,NO,NO,NO,NO
KNACK,NO,NO,NO,NO
KNAGRI,NO,NO,NO,NO
KNRCON,NO,NO,NO,YES
KOHINOOR,NO,NO,NO,NO
KOKUYOCMLN,NO,NO,NO,NO
KOLTEPATIL,NO,NO,NO,NO
KOTAKBANK,YES,YES,NO,NO
KOTARISUG,NO,NO,NO,NO
KOTHARIPET,NO,NO,NO,NO
KOTHARIPRO,NO,NO,NO,NO
KOTIC,NO,NO,NO,NO
KOVAI,NO,NO,NO,NO
KPEL,NO,NO,NO,NO
KPIGREEN,NO,NO,NO,YES
KPIL,NO,NO,YES,NO
KPITTECH,NO,YES,NO,NO
KPL,NO,NO,NO,NO
KPRMILL,NO,NO,NO,NO
KRBL,NO,NO,NO,YES
KREBSBIO,NO,NO,NO,NO
KRISHANA,NO,NO,NO,NO
KRISHIVAL,NO,NO,NO,NO
KRISHNADEF,NO,NO,NO,NO
KRITI,NO,NO,NO,NO
KRITIKA,NO,NO,NO,NO
KRITINUT,NO,NO,NO,NO
KRN,NO,NO,NO,YES
KRONOX,NO,NO,NO,NO
KROSS,NO,NO,NO,NO
KRSNAA,NO,NO,NO,NO
KRYSTAL,NO,NO,NO,NO
KSB,NO,NO,NO,YES
KSCL,NO,NO,NO,YES
KSE,NO,NO,NO,NO
KSHINTL,NO,NO,NO,NO
KSHITIJPOL,NO,NO,NO,NO
KSL,NO,NO,NO,NO
KSOLVES,NO,NO,NO,NO
KSR,NO,NO,NO,NO
KTKBANK,NO,NO,NO,YES
KUANTUM,NO,NO,NO,NO
KUSUMGAR,NO,NO,NO,NO
KWIL,NO,NO,NO,NO
LADDERUP,NO,NO,NO,NO
LAGNAM,NO,NO,NO,NO
LAHOTIOV,NO,NO,NO,NO
LAKSHMIMIL,NO,NO,NO,NO
LAL,NO,NO,NO,NO
LALPATHLAB,NO,NO,YES,NO
LAMBODHARA,NO,NO,NO,NO
LANCER,NO,NO,NO,NO
LANCORHOL,NO,NO,NO,NO
LANDMARK,NO,NO,NO,NO
LANDSMILL,NO,NO,NO,NO
LAOPALA,NO,NO,NO,NO
LASA,NO,NO,NO,NO
LASERPOWER,NO,NO,NO,NO
LATENTVIEW,NO,NO,YES,NO
LATTEYS,NO,NO,NO,NO
LAURUSLABS,NO,YES,NO,NO
LAXMICOT,NO,NO,NO,NO
LAXMIDENTL,NO,NO,NO,NO
LAXMIINDIA,NO,NO,NO,NO
LCCINFOTEC,NO,NO,NO,NO
LCL,NO,NO,NO,NO
LEAPIND,NO,NO,NO,NO
LEENEE,NO,NO,NO,NO
LEMERITE,NO,NO,NO,NO
LEMONTREE,NO,NO,YES,NO
LENSKART,NO,NO,NO,NO
LEXUS,NO,NO,NO,NO
LFIC,NO,NO,NO,NO
LGBBROSLTD,NO,NO,NO,NO
LGEINDIA,NO,NO,NO,NO
LGHL,NO,NO,NO,NO
LIBAS,NO,NO,NO,NO
LIBERTSHOE,NO,NO,NO,NO
LICHSGFIN,NO,YES,NO,NO
LICI,NO,YES,NO,NO
LIKHITHA,NO,NO,NO,NO
LINC,NO,NO,NO,NO
LINCOLN,NO,NO,NO,NO
LINDEINDIA,NO,NO,NO,NO
LKPSEC,NO,NO,NO,NO
LLOYDSENGG,NO,NO,NO,YES
LLOYDSENT,NO,NO,NO,YES
LLOYDSME,NO,NO,NO,NO
LMW,NO,NO,NO,NO
LODHA,NO,YES,NO,NO
LORDSCHLO,NO,NO,NO,NO
LOTUSCHO,NO,NO,NO,NO
LOTUSEYE,NO,NO,NO,NO
LOVABLE,NO,NO,NO,NO
LOYALTEX,NO,NO,NO,NO
LPDC,NO,NO,NO,NO
LT,YES,YES,NO,NO
LTF,NO,YES,NO,NO
LTFOODS,NO,NO,YES,NO
LTM,NO,YES,NO,NO
LTTS,NO,NO,NO,NO
LUMAXIND,NO,NO,NO,NO
LUMAXTECH,NO,NO,NO,YES
LUPIN,NO,YES,NO,NO
LUXIND,NO,NO,NO,NO
LXCHEM,NO,NO,NO,YES
M&M,YES,YES,NO,NO
M&MFIN,NO,NO,NO,NO
MAANALU,NO,NO,NO,NO
MACPOWER,NO,NO,NO,NO
MADHAV,NO,NO,NO,NO
MADHAVIPL,NO,NO,NO,NO
MADRASFERT,NO,NO,NO,NO
MAFATIND,NO,NO,NO,NO
MAGADSUGAR,NO,NO,NO,NO
MAGNUM,NO,NO,NO,NO
MAHABANK,NO,YES,NO,NO
MAHAPEXLTD,NO,NO,NO,NO
MAHEPC,NO,NO,NO,NO
MAHLIFE,NO,NO,NO,NO
MAHLOG,NO,NO,NO,NO
MAHSCOOTER,NO,NO,NO,YES
MAHSEAMLES,NO,NO,NO,YES
MAITHANALL,NO,NO,NO,NO
MAKERSL,NO,NO,NO,NO
MALLCOM,NO,NO,NO,NO
MALUPAPER,NO,NO,NO,NO
MAMATA,NO,NO,NO,NO
MANAKALUCO,NO,NO,NO,NO
MANAKCOAT,NO,NO,NO,NO
MANAKSIA,NO,NO,NO,NO
MANAKSTEEL,NO,NO,NO,NO
MANALIPETC,NO,NO,NO,NO
MANAPPURAM,NO,YES,YES,NO
MANBA,NO,NO,NO,NO
MANBRO,NO,NO,NO,NO
MANCREDIT,NO,NO,NO,NO
MANGALAM,NO,NO,NO,NO
MANGLMCEM,NO,NO,NO,NO
MANINDS,NO,NO,NO,NO
MANINFRA,NO,NO,NO,NO
MANIPALHOS,NO,NO,NO,NO
MANKIND,NO,YES,NO,NO
MANOMAY,NO,NO,NO,NO
MANORAMA,NO,NO,NO,YES
MANORG,NO,NO,NO,NO
MANYAVAR,NO,NO,NO,YES
MAPMYINDIA,NO,NO,YES,NO
MARALOVER,NO,NO,NO,NO
MARATHON,NO,NO,NO,NO
MARICO,NO,YES,NO,NO
MARINE,NO,NO,NO,NO
MARKOLINES,NO,NO,NO,NO
MARKSANS,NO,NO,NO,YES
MARSONS,NO,NO,NO,NO
MARUTI,YES,YES,NO,NO
MASFIN,NO,NO,NO,NO
MASKINVEST,NO,NO,NO,NO
MASTEK,NO,NO,NO,YES
MASTERTR,NO,NO,NO,NO
MATRIMONY,NO,NO,NO,NO
MAWANASUG,NO,NO,NO,NO
MAXESTATES,NO,NO,NO,NO
MAXHEALTH,YES,YES,NO,NO
MAXIND,NO,NO,NO,NO
MAYURUNIQ,NO,NO,NO,NO
MAZDOCK,NO,YES,NO,NO
MBAPL,NO,NO,NO,NO
MBEL,NO,NO,NO,NO
MBLINFRA,NO,NO,NO,NO
MCCHRLS-B,NO,NO,NO,NO
MCL,NO,NO,NO,NO
MCLEODRUSS,NO,NO,NO,NO
MCLOUD,NO,NO,NO,NO
MCX,NO,YES,NO,NO
MEDANTA,NO,NO,NO,NO
MEDIASSIST,NO,NO,NO,NO
MEDICAMEQ,NO,NO,NO,NO
MEDICAPQ,NO,NO,NO,NO
MEDICO,NO,NO,NO,NO
MEDPLUS,NO,NO,NO,YES
MEESHO,NO,NO,YES,NO
MEGASTAR,NO,NO,NO,NO
MEIL,NO,NO,NO,NO
MENNPIS,NO,NO,NO,NO
MERCANTILE,NO,NO,NO,NO
MERCURYEV,NO,NO,NO,NO
METROBRAND,NO,NO,NO,NO
METROGLOBL,NO,NO,NO,NO
METROPOLIS,NO,NO,NO,YES
MFML,NO,NO,NO,NO
MFSL,NO,YES,NO,NO
MGL,NO,NO,YES,NO
MHRIL,NO,NO,NO,NO
MIDHANI,NO,NO,NO,YES
MIDWESTLTD,NO,NO,NO,NO
MIIL,NO,NO,NO,NO
MILKYMIST,NO,NO,NO,NO
MINALIND,NO,NO,NO,NO
MINDACORP,NO,NO,YES,NO
MINDTECK,NO,NO,NO,NO
MIRZAINT,NO,NO,NO,NO
MITTAL,NO,NO,NO,NO
MKEXIM,NO,NO,NO,NO
MKPL,NO,NO,NO,NO
MLKFOOD,NO,NO,NO,NO
MMFL,NO,NO,NO,NO
MMP,NO,NO,NO,NO
MMTC,NO,NO,YES,NO
MMWL,NO,NO,NO,NO
MOBIKWIK,NO,NO,NO,NO
MODIRUBBER,NO,NO,NO,NO
MODIS,NO,NO,NO,NO
MODTHREAD,NO,NO,NO,NO
MOHITE,NO,NO,NO,NO
MOHITIND,NO,NO,NO,NO
MOIL,NO,NO,NO,YES
MOKSH,NO,NO,NO,NO
MOL,NO,NO,NO,NO
MOLBIO,NO,NO,NO,NO
MOLDTKPAC,NO,NO,NO,NO
MONARCH,NO,NO,NO,NO
MONEYBOXX,NO,NO,NO,NO
MONTECARLO,NO,NO,NO,NO
MOREPENLAB,NO,NO,NO,NO
MOSCHIP,NO,NO,NO,NO
MOTHERSON,NO,YES,NO,NO
MOTILALOFS,NO,YES,NO,NO
MOTISONS,NO,NO,NO,NO
MPDL,NO,NO,NO,NO
MPHASIS,NO,YES,NO,NO
MPSLTD,NO,NO,NO,NO
MRF,NO,NO,NO,NO
MRPL,NO,NO,YES,NO
MSL,NO,NO,NO,NO
MSPL,NO,NO,NO,NO
MSTCLTD,NO,NO,NO,YES
MSUMI,NO,NO,YES,NO
MTNL,NO,NO,NO,NO
MUFIN,NO,NO,NO,NO
MUFTI,NO,NO,NO,NO
MUKANDLTD,NO,NO,NO,NO
MUKESHB,NO,NO,NO,NO
MUKKA,NO,NO,NO,NO
MUNJALAU,NO,NO,NO,NO
MUNJALSHOW,NO,NO,NO,NO
MURUDCERA,NO,NO,NO,NO
MUTHOOTCAP,NO,NO,NO,NO
MUTHOOTFIN,NO,YES,NO,NO
MUTHOOTMF,NO,NO,NO,NO
MVELECTRO,NO,NO,NO,NO
MVGJL,NO,NO,NO,NO
MWL,NO,NO,NO,NO
MYSORPETRO,NO,NO,NO,NO
NACLIND,NO,NO,NO,NO
NAGREEKCAP,NO,NO,NO,NO
NAGREEKEXP,NO,NO,NO,NO
NAHARCAP,NO,NO,NO,NO
NAHARINDUS,NO,NO,NO,NO
NAHARPOLY,NO,NO,NO,NO
NAHARSPING,NO,NO,NO,NO
NAM-INDIA,NO,YES,NO,NO
NARMADA,NO,NO,NO,NO
NATCAPSUQ,NO,NO,NO,NO
NATCOPHARM,NO,NO,YES,NO
NATHBIOGEN,NO,NO,NO,NO
NATIONALUM,NO,YES,NO,NO
NATIONSTD,NO,NO,NO,NO
NAUKRI,NO,YES,NO,NO
NAVA,NO,NO,YES,NO
NAVINFLUOR,NO,NO,YES,NO
NAVKARCORP,NO,NO,NO,NO
NAVNETEDUL,NO,NO,NO,NO
NAZARA,NO,NO,NO,YES
NBCC,NO,YES,YES,NO
NBIFIN,NO,NO,NO,NO
NCC,NO,NO,YES,NO
NCLIND,NO,NO,NO,NO
NDGL,NO,NO,NO,NO
NDL,NO,NO,NO,NO
NDLVENTURE,NO,NO,NO,NO
NDRAUTO,NO,NO,NO,NO
NDTV,NO,NO,NO,NO
NEAGI,NO,NO,NO,NO
NECLIFE,NO,NO,NO,NO
NELCAST,NO,NO,NO,NO
NELCO,NO,NO,NO,NO
NEOGEN,NO,NO,NO,YES
NEPHROPLUS,NO,NO,NO,NO
NESCO,NO,NO,NO,YES
NESTLEIND,YES,YES,NO,NO
NETWEB,NO,NO,YES,NO
NETWORK18,NO,NO,NO,YES
NEULANDLAB,NO,NO,YES,NO
NEWGEN,NO,NO,YES,NO
NEXTMEDIA,NO,NO,NO,NO
NFL,NO,NO,NO,YES
NGLFINE,NO,NO,NO,NO
NH,NO,NO,YES,NO
NHPC,NO,YES,NO,NO
NIACL,NO,NO,NO,NO
NIBE,NO,NO,NO,NO
NIBL,NO,NO,NO,NO
NICCOPAR,NO,NO,NO,NO
NIITLTD,NO,NO,NO,NO
NIITMTS,NO,NO,NO,NO
NILAINFRA,NO,NO,NO,NO
NILASPACES,NO,NO,NO,NO
NILE,NO,NO,NO,NO
NILKAMAL,NO,NO,NO,NO
NIMBSPROJ,NO,NO,NO,NO
NINSYS,NO,NO,NO,NO
NIPPOBATRY,NO,NO,NO,NO
NIRAJ,NO,NO,NO,NO
NIRAJISPAT,NO,NO,NO,NO
NIRLON,NO,NO,NO,NO
NITCO,NO,NO,NO,NO
NITINSPIN,NO,NO,NO,NO
NITIRAJ,NO,NO,NO,NO
NITTAGELA,NO,NO,NO,NO
NIVABUPA,NO,NO,YES,NO
NKIND,NO,NO,NO,NO
NLCINDIA,NO,NO,NO,NO
NMDC,NO,YES,NO,NO
NOCIL,NO,NO,NO,NO
NORBTEAEXP,NO,NO,NO,NO
NORTHARC,NO,NO,NO,NO
NOVARTIND,NO,NO,NO,NO
NPST,NO,NO,NO,NO
NRAIL,NO,NO,NO,NO
NRBBEARING,NO,NO,NO,NO
NSIL,NO,NO,NO,NO
NSLNISP,NO,NO,YES,NO
NTCIND,NO,NO,NO,NO
NTPC,YES,YES,NO,NO
NTPCGREEN,NO,NO,NO,NO
NUCLEUS,NO,NO,NO,NO
NUVAMA,NO,NO,YES,NO
NUVOCO,NO,NO,YES,NO
NYKAA,NO,YES,NO,NO
OAL,NO,NO,NO,NO
OBCL,NO,NO,NO,NO
OBEROIRLTY,NO,YES,NO,NO
ODIGMA,NO,NO,NO,NO
ODYCORP,NO,NO,NO,NO
OFSS,NO,YES,NO,NO
OIL,NO,YES,NO,NO
OLAELEC,NO,NO,YES,NO
