SYMBOL,NIFTY50,FNO,SMALLCAP250,MICROCAP250
ARIHANT,NO,NO,NO,NO
ARIHANTCAP,NO,NO,NO,NO
ARIHANTSUP,NO,NO,NO,NO
ARIS,NO,NO,NO,NO
ARKADE,NO,NO,NO,NO
ARMANFIN,NO,NO,NO,NO
AROGRANITE,NO,NO,NO,NO
ARSSBL,NO,NO,NO,NO
ARTEMISMED,NO,NO,NO,NO
ARTNIRMAN,NO,NO,NO,NO
ARVEE,NO,NO,NO,NO
ARVIND,NO,NO,NO,YES
ARVINDFASN,NO,NO,NO,YES
ARVSMART,NO,NO,NO,NO
ARYAMAN,NO,NO,NO,NO
ASAHIINDIA,NO,NO,YES,NO
ASAL,NO,NO,NO,NO
ASALCBR,NO,NO,NO,NO
ASHAPURMIN,NO,NO,NO,YES
ASHIANA,NO,NO,NO,NO
ASHIMASYN,NO,NO,NO,NO
ASHOKA,NO,NO,NO,YES
ASHOKAMET,NO,NO,NO,NO
ASHOKLEY,NO,YES,NO,NO
ASIANENE,NO,NO,NO,NO
ASIANHOTNR,NO,NO,NO,NO
ASIANPAINT,YES,YES,NO,NO
ASIANTILES,NO,NO,NO,NO
ASIANTNE,NO,NO,NO,NO
ASKAUTOLTD,NO,NO,NO,YES
ASPINWALL,NO,NO,NO,NO
ASSAMENT,NO,NO,NO,NO
ASTAR,NO,NO,NO,NO
ASTEC,NO,NO,NO,NO
ASTERDM,NO,NO,YES,NO
ASTRAL,NO,YES,NO,NO
ASTRAMICRO,NO,NO,NO,YES
ASTRAZEN,NO,NO,NO,NO
ATALREAL,NO,NO,NO,NO
ATAM,NO,NO,NO,NO
ATGL,NO,NO,NO,NO
ATHERENERG,NO,YES,YES,NO
ATL,NO,NO,NO,NO
ATLANTAA,NO,NO,NO,NO
ATLANTAELE,NO,NO,NO,YES
ATLASCYCLE,NO,NO,NO,NO
ATUL,NO,NO,YES,NO
ATULAUTO,NO,NO,NO,NO
AUBANK,NO,YES,NO,NO
AURIONPRO,NO,NO,NO,YES
AUROPHARMA,NO,YES,NO,NO
AURUM,NO,NO,NO,NO
AURUS,NO,NO,NO,NO
AUSOMENT,NO,NO,NO,NO
AUSTENG,NO,NO,NO,NO
AUTOAXLES,NO,NO,NO,NO
AVADHSUGAR,NO,NO,NO,NO
AVALON,NO,NO,NO,YES
AVANCE,NO,NO,NO,NO
AVANTEL,NO,NO,NO,NO
AVANTIFEED,NO,NO,NO,YES
AVL,NO,NO,NO,YES
AVONMORE,NO,NO,NO,NO
AVROIND,NO,NO,NO,NO
AVTNPL,NO,NO,NO,NO
AWFIS,NO,NO,NO,YES
AWHCL,NO,NO,NO,NO
AWL,NO,NO,NO,NO
AXISBANK,YES,YES,NO,NO
AXISCADES,NO,NO,NO,YES
AXITA,NO,NO,NO,NO
AXTEL,NO,NO,NO,NO
AYE,NO,NO,NO,NO
AYMSYNTEX,NO,NO,NO,NO
AZAD,NO,NO,NO,YES
AZADIND,NO,NO,NO,NO
BAGFILMS,NO,NO,NO,NO
BAIDFIN,NO,NO,NO,NO
